--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| building                                                  | predicate                                                            | object                                                      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE98>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AE98"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE98>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AE98>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL45>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL45_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL45>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL45>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1228>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL45>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1228>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL45>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AL45"^^<http://www.opengis.net/gml#id>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL45>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.opengis.net/citygml/building/2.0#Building>      |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AL45>  | <http://www.w3.org/1999/02/22-rdf-syntax-ns#type>                    | <http://www.w3.org/2002/07/owl#NamedIndividual>             |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD28>  | <http://www.opengis.net/citygml/building/2.0#consistsOfBuildingPart> | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD28_1>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD28>  | <http://www.opengis.net/citygml/2.0#creationDate>                    | "2017-04-05"^^<http://www.w3.org/2001/XMLSchema#date>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD28>  | <http://www.opengis.net/gml#hasboundedBy>                            | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#boundedBy_1483>  |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD28>  | <http://www.opengis.net/gml#hasname>                                 | <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#name_1483>       |
| <file:///LYON_1ER_BATI_2015(1711_bldg).rdf#BU_69381AD28>  | <http://www.opengis.net/gml#hasid>                                   | "BU_69381AD28"^^<http://www.opengis.net/gml#id>             |
